国家,非统计项,国家代码,所在洲,国家收入等级,人口,女性人口,千人生育率,PPP人均国民收入,美元人均国民收入,基尼系数,贫困人口比例,城镇人口比例,初等教育人口,五岁以下死亡人数,识字率,失业率,服务业就业比例,农业就业比例,工业就业比例,出生预期寿命,通电率,艾滋病感染率
格林纳达,,GRD,NA,中高等收入国家,112519,55853,2.042,15450,9410,,,36.537,,29,,,,,,72.397,95.4287414550781,
格陵兰,,GRL,NA,高收入国家,56367,,2.08,,,,,87.282,,,,,,,,,100,
危地马拉,,GTM,NA,中高等收入国家,16858333,8552130,2.822,8700,4490,,,51.836,2365800,10041,80.810676574707,3.55299997329712,49.9799995422363,31.2999992370605,18.7299995422363,74.302,95.7245712280273,0.2
关岛,,GUM,OC,高收入国家,168783,83643,2.293,,,,,94.938,,,,6.80200004577637,84.2300033569336,0.230000004172325,15.539999961853,80.074,100,
圭亚那,,GUY,SA,中高等收入国家,786559,391010,2.44,16610,7130,,,26.786,,436,,16.4309997558594,59.5999984741211,15.4399995803833,24.9699993133545,69.906,92.0216903686523,1.3
高收入国家,x,HIC,,,1214930230,609111672,1.56538701996662,51275.864411099,44479.1002144413,,,81.7553882986929,77067616,59851,,6.48602163111056,74.4767416690368,2.75403474554096,22.7721598608938,80.8873668617946,99.9997084133116,
中国香港特别行政区,,HKG,AS,高收入国家,7481800,4049102,1.051,62500,48630,,,100,376310,,,5.82999992370605,88.75,0.170000001788139,11.0799999237061,85.0780487804878,100,
洪都拉斯,,HND,NA,中低等收入国家,9904608,4955728,2.427,5050,2180,49.4,50.4,58.359,1103956,3368,87.2052383422852,8.3730001449585,49.1199989318848,29.4899997711182,21.3899993896484,75.27,92.7795257568359,0.2
重债穷国 (HIPC),x,HPC,,,823480038,412664816,4.61982484559296,2617.18049611354,959.029001487414,,,36.9630236104351,137690720,1773692,61.8828887939453,5.43276061284761,31.9978990307446,57.2083203756744,10.7949286670858,63.4864553256302,44.624965142776,2.25845623950485
克罗地亚,,HRV,EU,高收入国家,4047200,2095905,1.47,28950,14530,30.4,18.3,57.553,159336,164,,7.51000022888184,66.1399993896484,6.19000005722046,27.6700000762939,78.4243902439025,100,0.1
海地,,HTI,NA,中低等收入国家,11402533,5776088,2.887,3100,1320,,,57.088,,16214,,15.451000213623,64.3099975585938,29.0300006866455,6.65999984741211,64.001,45.3713455200195,1.9
匈牙利,,HUN,EU,高收入国家,9749763,5108915,1.49,32190,15890,30.6,12.3,71.942,364424,369,,4.25,63.189998626709,4.71999979019165,32.0900001525879,76.0219512195122,100,
只有IBRD,x,IBD,,,4862388283,2399369861,2.05655570048594,13500.300385838,6269.71319802132,,,56.2170891312318,421705152,1591687,89.0665435791016,6.87873135627633,48.195906564084,26.5659428177929,25.2390097306853,73.6135935088521,98.505176475251,
IBRD与IDA,x,IBT,,,6570991956,3250694446,2.53256764812718,10964.2814324581,4978.67496858117,,,51.4809951051545,664103552,4975912,84.1251373291016,6.60747206413914,45.5610561071676,31.6381160263425,22.8019744788562,71.2794862234126,88.5250024200767,
IDA總,x,IDA,,,1708603673,851324585,3.9381438204766,3754.80034645577,1305.14998049325,,,37.988877493181,242743360,3384225,66.0243072509766,5.70185546751345,36.5743575965022,48.9378042494291,14.4899653435513,64.536308941045,59.69449796025,1.78410029633405
IDA混合,x,IDB,,,574159138,282852973,4.09023648699508,4893.725623438,1664.75639479175,,,43.194213462972,72285016,1413739,66.5693511962891,6.59390190586146,43.7341121757666,39.2587217952803,17.0109702366733,62.4089972219881,66.8390685707299,1.42723183876727
印度尼西亚,,IDN,AS,中低等收入国家,273523621,135805760,2.288,11750,3870,38.1,9.8,56.641,,110042,95.658561706543,4.28000020980835,49.1399993896484,28.5,22.3600006103516,71.716,98.85,0.4
只有IDA,x,IDX,,,1134444535,568471612,3.86269257858324,3194.77923755543,1123.46723860402,,,35.3502506753276,170113376,1970486,65.4988708496094,5.30630013946721,33.4569440241204,53.1521530342537,13.3922999441506,65.6133438655466,56.0770462878388,2.01461533249342
马恩岛,,IMN,EU,高收入国家,85032,,,,,,,52.898,,,,,,,,,100,
印度,,IND,AS,中低等收入国家,1380004385,662903415,2.202,6440,1920,,,34.926,120064160,783314,74.3729934692383,7.99700021743774,32.2799987792969,42.5999984741211,25.1200008392334,69.656,97.8152847290039,
未分类国家,x,INX,,,,,,,,,,,,,,,,,,,,
爱尔兰,,IRL,EU,高收入国家,4994724,2515113,1.7,70910,65620,31.4,13.1,63.653,568495,183,,5.61999988555908,76.8000030517578,4.42999982833862,18.7700004577637,82.3024390243903,100,0.2
伊朗伊斯兰共和国,,IRN,AS,中低等收入国家,83992953,41584547,2.146,13310,2960,40.8,,75.874,,19577,,12.168999671936,51.2400016784668,17.3700008392334,31.3899993896484,76.677,100,0.1
伊拉克,,IRQ,AS,中高等收入国家,40222503,19864725,3.597,9400,4680,,,70.893,,28345,,14.0880002975464,58.7999992370605,18.2700004577637,22.9300003051758,70.604,100,
冰岛,,ISL,EU,高收入国家,366425,182375,1.75,52030,62420,26.1,,93.898,32811,8,,5.48000001907349,78.4899978637695,4.03999996185303,17.4699993133545,82.5609756097561,100,0.1
以色列,,ISR,AS,高收入国家,9216900,4629378,3.01,39080,42600,,,92.587,957167,609,,4.32999992370605,81.8600006103516,0.920000016689301,17.2299995422363,82.8048780487805,100,
意大利,,ITA,EU,高收入国家,59554023,30558291,1.27,42340,32290,35.9,20.1,71.039,2834910,1298,99.15576171875,9.15999984741211,70.2399978637695,3.89000010490417,25.8700008392334,83.1975609756098,100,0.2
牙买加,,JAM,NA,中高等收入国家,2961161,1491520,1.965,8940,4670,,,56.311,232694,620,,9.47999954223633,68.5999984741211,15.2200002670288,16.1800003051758,74.475,99.3837738037109,1.4
约旦,,JOR,AS,中高等收入国家,10203140,5037161,2.691,10330,4310,,15.7,91.418,1147202,3217,98.2271118164063,19.0259990692139,73.0899963378906,2.47000002861023,24.4500007629395,74.526,100,0.1
日本,,JPN,AS,高收入国家,125836021,64395674,1.36,43130,40360,,,91.782,6494115,2319,,2.79999995231628,72.4000015258789,3.38000011444092,24.2199993133545,84.3563414634146,100,0.1
哈萨克斯坦,,KAZ,AS,中高等收入国家,18754440,9652308,2.9,24410,8710,27.5,4.3,57.671,1461448,3740,99.7816314697266,4.8899998664856,64.1600036621094,14.8599996566772,20.9799995422363,73.18,100,0.3
肯尼亚,,KEN,AF,中低等收入国家,53771300,27052773,3.423,4500,1840,,,27.995,,62199,81.5349731445313,5.72900009155273,39.439998626709,54.3400001525879,6.21999979019165,66.699,69.7,4.2
吉尔吉斯斯坦,,KGZ,AS,中低等收入国家,6591600,3330985,3.3,4750,1160,27.3,22.4,36.856,551210,2663,99.5859985351563,8.70600032806396,55.3300018310547,19.3199996948242,25.3600006103516,71.6,99.8817520141602,0.2
柬埔寨,,KHM,AS,中低等收入国家,16718971,8556547,2.478,4250,1500,,,24.232,2163143,9263,,0.331000000238419,37.560001373291,34.5299987792969,27.9099998474121,69.823,93,0.5
基里巴斯,,KIR,OC,中低等收入国家,119446,60702,3.53,4260,2960,,,55.594,,159,,,,,,68.369,100,
圣基茨和尼维斯,,KNA,NA,高收入国家,53192,,,26190,19080,,,30.843,,10,,,,,,,100,
大韩民国,,KOR,AS,高收入国家,51780579,25858715,0.918,45620,32960,,,81.414,2755682,1112,,3.9300000667572,70.2799987792969,5.1399998664856,24.5799999237061,83.2268292682927,100,
科威特,,KWT,AS,高收入国家,4270563,1656117,2.077,,,,,100,276318,488,96.0564727783203,3.53900003433228,76.0699996948242,1.77999997138977,22.1499996185303,75.489,100,
拉丁美洲与加勒比海地区（不包括高收入）,x,LAC,,,595242966,302366378,2.01520974290806,14661.5051276907,7211.51047192378,,,80.5144457701328,57482340,152916,93.7275314331055,10.1747861788602,65.4982406438974,14.0279025188475,20.4773355927721,75.591326387177,98.2727196289258,0.497831666256332
老挝,,LAO,AS,中低等收入国家,7275556,3623762,2.626,7800,2520,,18.3,36.29,770659,7253,,1.03400003910065,25.6200008392334,61.439998626709,12.9399995803833,67.923,100,0.3
黎巴嫩,,LBN,AS,中高等收入国家,6825442,3389696,2.075,11840,5370,,,88.925,516514,810,95.0694427490234,13.2969999313354,65.0999984741211,11.3199996948242,23.5900001525879,78.93,100,0.1
利比里亚,,LBR,AF,低收入国家,5057677,2515138,4.247,1300,570,,,52.089,,12537,,3.98000001907349,47.2299995422363,42.6199989318848,10.1499996185303,64.104,27.6492099761963,1.1
利比亚,,LBY,AF,中高等收入国家,6871287,3402550,2.206,11490,4960,,,80.691,,1375,,20.0659999847412,59.1699981689453,16.4099998474121,24.4300003051758,72.913,68.5321884155273,0.1
圣卢西亚,,LCA,NA,中高等收入国家,183629,93207,1.424,11960,8560,,,18.841,15693,52,,16.8920001983643,75.3399963378906,9.97000026702881,14.6899995803833,76.203,99.5477752685547,
拉丁美洲与加勒比海地区,x,LCN,,,652276325,331289258,2.00904340454452,15152.2375497936,7612.87459052613,,,81.1180900692708,62995144,167599,93.8686599731445,10.0620141880859,66.1472296508784,13.5339699979129,20.3226852499871,75.6014950394695,98.4242947003898,0.501215153231991
最不发达国家：联合国分类,x,LDC,,,1057438163,531415790,3.94464022113694,3095.40524161204,1062.44611935896,,,34.6407348362421,162809600,1925825,64.27587890625,5.32217798670412,32.0799241391168,55.2692174195875,12.651841673341,65.3454212391279,52.778280639013,2.13637150180044
低收入国家,x,LIC,,,665149035,333577700,4.57309229933043,1992.44106408675,668.815423509277,,,33.4508610838983,107360696,1457596,60.496711730957,5.62295367159999,29.9543716839917,59.7573109346797,10.2894967227694,63.7277492102326,40.9233418068988,1.79994287159812
列支敦士登,,LIE,EU,高收入国家,38137,,1.47,,,,,14.416,1979,,,,,,,83.0414634146342,100,
斯里兰卡,,LKA,AS,中低等收入国家,21919000,11409149,2.188,12870,3720,,,18.713,1710466,2287,91.7098236083984,5.87799978256226,47.1500015258789,24.9799995422363,27.8700008392334,76.978,100,0.1
中低等收入国家,x,LMC,,,3330652547,1635881959,2.69276469422501,7053.85981819032,2217.14124073976,,,42.4431319430444,352584928,3132185,75.4316329956055,6.61050501143007,40.0997505002205,37.7794674399986,22.1221286204646,69.0884916733125,89.0355255220612,
中低收入国家,x,LMY,,,6518253973,3223533079,2.5402489594087,10693.7720681757,4843.26721495446,,,51.2436499134785,659153344,4968320,84.0070877075195,6.59200810946201,45.278337474682,32.0234425308685,22.6993704738161,71.2216160423203,88.2287751048123,
莱索托,,LSO,AF,中低等收入国家,2142252,1085302,3.108,2730,1100,44.9,,29.028,,4971,,24.5629997253418,42.3899993896484,44.2999992370605,13.3100004196167,54.331,44.6406784057617,21.1
後期人口紅利,x,LTE,,,2316679176,1147184584,1.73904981432023,18011.8585971737,9860.56395130002,,,64.0996411599834,170407280,275056,96.1560592651367,5.89018176876244,51.2007438006478,22.593144639351,26.2070453949441,76.4361880248427,99.372871512484,
立陶宛,,LTU,EU,高收入国家,2794700,1501199,1.61,37760,19620,37.3,20.6,68.046,117676,93,,8.48999977111816,67.8600006103516,6.44000005722046,25.7000007629395,76.1341463414634,100,
卢森堡,,LUX,EU,高收入国家,632275,312502,1.34,82980,80860,34.5,17.5,91.453,39146,18,,6.76999998092651,88.5100021362305,0.680000007152557,10.8100004196167,82.4463414634146,100,
拉脱维亚,,LVA,EU,高收入国家,1901548,1025139,1.61,31460,17880,35.6,22.9,68.315,120787,80,99.8893127441406,8.10000038146973,68.9899978637695,7.28999996185303,23.7199993133545,75.2390243902439,100,
中国澳门特别行政区,,MAC,AS,高收入国家,649342,337242,1.228,,,,,100,32530,,,2.5699999332428,89.9400024414063,0.400000005960464,9.65999984741211,84.244,100,
圣马丁（法属）,,MAF,NA,高收入国家,38659,,1.81,,,,,,,,,,,,,79.9731707317073,100,
摩洛哥,,MAR,AF,中低等收入国家,36910558,18593671,2.382,7260,3020,,,63.532,4432229,12556,73.7500076293945,11.4540004730225,43.6599998474121,33.25,23.0900001525879,76.68,99.6,0.1
摩纳哥,,MCO,EU,高收入国家,39244,,,,,,,100,1989,1,,,,,,,100,
摩尔多瓦,,MDA,EU,中高等收入国家,2620495,1365483,1.269,13510,4560,25.9,,42.849,139612,578,,3.8199999332428,57.3199996948242,20.9599990844727,21.7199993133545,71.901,100,0.8
马达加斯加,,MDG,AF,低收入国家,27691019,13876400,4.026,1500,470,,,38.534,4648600,43606,76.6796798706055,2.47399997711182,27.1499996185303,64.120002746582,8.72999954223633,67.041,26.9071846008301,0.3
马尔代夫,,MDV,AS,中高等收入国家,540542,197614,1.84,12420,6490,,,40.669,49373,45,,6.32800006866455,72.5500030517578,8.31999969482422,19.1299991607666,78.921,100,
中东与北非地区,x,MEA,,,464554123,223874467,2.77605576067712,15989.9768957897,6892.18277825208,,,65.9741365430288,53023328,213607,78.9814300537109,10.5407133879666,58.4173208439897,14.5974545939876,26.9874365552926,74.2705887609257,97.2325397952462,0.101806942893415
墨西哥,x,MEX,NA,中高等收入国家,128932753,65861267,2.103,17810,8480,,41.9,80.731,14012770,30081,95.3799133300781,4.44999980926514,61.9700012207031,12.4799995422363,25.5499992370605,75.054,100,0.4
马绍尔群岛,,MHL,OC,中高等收入国家,59194,,,5060,4940,,,77.794,7234,42,,,,,,,97.443603515625,
中等收入国家,x,MIC,,,5853104938,2889955379,2.32657262200341,11690.056175084,5317.67679180932,,,53.2662425906809,551792640,3510724,86.0886611938477,6.68969907912072,46.7921435240961,29.283701504505,23.9253025995725,72.0592737633762,93.5164042829526,
北马其顿,,MKD,EU,中高等收入国家,2072531,1035827,1.489,16310,5750,34.2,21.6,58.482,,131,,17.2000007629395,54.9500007629395,13.9200000762939,31.1299991607666,75.797,100,
马里,,MLI,AF,低收入国家,20250834,10105660,5.785,2250,830,,43.8,43.909,,72521,35.4737701416016,7.69600009918213,30,62.439998626709,7.55999994277954,59.306,48.0212478637695,0.9
马耳他,,MLT,EU,高收入国家,525285,261869,1.1,37980,25370,29.2,17.1,94.744,26788,28,94.5031890869141,4.26000022888184,80.0699996948242,1.01999998092651,18.9200000762939,82.6,100,
缅甸,,MMR,AS,中低等收入国家,54409794,28189604,2.138,4980,1350,30.7,,31.141,,40866,,1.05799996852875,34.2099990844727,48.8499984741211,16.9400005340576,67.134,68.3566513061523,
中东与北非地区（不包括高收入）,x,MNA,,,396147843,196537067,2.85567133406502,10177.6414475866,3096.37013582196,,,62.2098285066013,47253812,206394,75.9643402099609,12.2390777292652,54.7392407739236,18.6848714159558,26.5784546646497,73.7775893150047,96.7546478509521,0.102106861015325
黑山,,MNE,EU,中高等收入国家,621306,314084,1.748,20350,7900,,24.5,67.488,39085,17,98.8471832275391,17.8999996185303,73.4400024414063,7.15000009536743,19.4099998474121,76.884,100,0.1
蒙古,,MNG,AS,中低等收入国家,3278292,1663253,2.867,11200,3740,,28.4,68.657,327019,1146,98.4231185913086,7.01000022888184,53.1100006103516,25.3199996948242,21.5799999237061,69.87,99.1252670288086,0.1
北马里亚纳群岛,,MNP,OC,高收入国家,57557,,,,,,,91.798,,,,,,,,,100,
莫桑比克,,MOZ,AF,低收入国家,31255435,16067200,4.783,1250,460,,,37.074,6940864,78997,,3.80999994277954,21.1900005340576,70.2200012207031,8.59000015258789,60.854,29.6161613464355,11.5
毛里塔尼亚,,MRT,AF,中低等收入国家,4649660,2314679,4.503,5320,1670,,,55.327,677458,10538,,11.2700004577637,51.560001373291,30.8299999237061,17.6100006103516,64.925,45.812068939209,0.3
毛里求斯,,MUS,AF,中高等收入国家,1265740,641234,1.4,22380,10230,36.8,,40.76,85730,211,91.3253936767578,7.40700006484985,70.3499984741211,5.96999979019165,23.6800003051758,74.2358536585366,100,1.7
马拉维,,MWI,AF,低收入国家,19129955,9695918,4.127,1550,580,,,17.427,4593328,24210,,6.70100021362305,18.2700004577637,76.3600006103516,5.36999988555908,64.263,11.2,8.1
马来西亚,,MYS,AS,中高等收入国家,32365998,15735185,1.983,27360,10570,,5.6,77.16,3066391,4569,94.8544082641602,4.50400018692017,62.7200012207031,10.2799997329712,27.0100002288818,76.156,100,0.4
北美,x,NAC,,,367553264,185591988,1.68078250890098,62694.7079644261,62371.7399054072,,,82.5530665548055,27197958,26905,,8.20683981085312,78.794516625575,1.3763556402471,19.8380350984667,79.1233025829812,100,
纳米比亚,,NAM,AF,中高等收入国家,2540916,1309233,3.344,9190,4500,,,52.033,,2805,91.5272674560547,21.4459991455078,61.75,21.8500003814697,16.3999996185303,63.708,55.1951179504395,11.6
新喀里多尼亚,,NCL,OC,高收入国家,271960,135263,1.94,,,,,71.518,,,,16.4290008544922,75.2600021362305,1.87000000476837,22.8700008392334,77.6341463414634,100,
尼日尔,,NER,AF,低收入国家,24206636,12036471,6.824,1230,550,,40.8,16.626,2666748,81065,35.0499992370605,0.624000012874603,20.75,72.5400009155273,6.71000003814697,62.42,18.7747249603271,0.2
尼日利亚,,NGA,AF,中低等收入国家,206139587,101669950,5.317,5000,2000,,40.1,51.958,,844321,62.0160102844238,9.71399974822998,53.0299987792969,34.9700012207031,12,54.687,55.4,1.3
尼加拉瓜,,NIC,NA,中低等收入国家,6624554,3359705,2.377,5410,1850,,,59.012,,2113,,6.07800006866455,53.1599998474121,30.6000003814697,16.2399997711182,74.485,88.2126693725586,0.2
荷兰,,NLD,EU,高收入国家,17441139,8751402,1.57,58240,51060,28.5,13.2,92.236,1170170,718,,3.8199999332428,81.8099975585938,2.07999992370605,16.1100006103516,82.0121951219512,100,0.2
挪威,,NOR,EU,高收入国家,5379475,2660602,1.53,65500,78290,27,12.7,82.974,448655,131,,4.42000007629395,78.5400009155273,2.03999996185303,19.4200000762939,82.9073170731707,100,
